Division,Month,Affected
IPALOGAMA,12,1410
GALNEWA,12,1211
NOCHCHIYAGAMA,12,61
WELIMADA,12,320
UVA PARANAGAMA,12,28
PASSARA,12,65
PASSARA,12,323
KANDAKETIYA,12,1
HALDUMMULLA,12,116
HALI-ELA,12,97118
MAHIYANGANAYA,12,281
ELLA,12,322
MEEGAHAKIVULA,12,2
BADULLA,12,520
RIDEEMALIYADDA,12,49
UVA PARANAGAMA,12,73
LUNUGALA,12,20
MANMUNAI SOUTH & ERUVILPATTU (,12,1098
MANMUNAI SOUTH & ERUVILPATTU (,12,103
PORATIVU PATTU (ELLAVUL),12,2087
PORATIVU PATTU (ELLAVUL),12,50
ERAVUR PATTU (CHENKALADY),12,8281
ERAVUR PATTU (CHENKALADY),12,13028
MANMUNAI SOUTH - WEST (PEDDIPE,12,78
MANMUNAI SOUTH - WEST (PEDDIPE,12,7
MANMUNAI PATTU (ARAIPATTAI),12,1
MANMUNAI NORTH (BATTI TOWN),12,7
KORALAI PATTU WEST (ODDAMAVADI,12,581
KORALAI PATTU WEST (ODDAMAVADI,12,2712
KORALAI PATTU CENTRAL,12,4093
KORALAI PATTU CENTRAL,12,896
ERAVUR TOWN (ERAVUR),12,8948
KORALAI PATTU NORTH(VAKARAI),12,1990
KORALAI PATTU NORTH(VAKARAI),12,99
KORALAI PATTU (VALACHCHENAI),12,150
MANMUNAI WEST(VAVUNATHEIVU),12,1084
KORALAI PATTU SOUTH (KIRAN),12,3316
THISSAMAHARAMA,12,3048
HAMBANTOTA,12,575
LUNUGAMVEHERA,12,21
SOORIYAWEWA,12,6
ANGUNAKOLAPELESSA,12,3
ISLAND SOUTH (VELANAI),12,32
ISLAND NORTH(KAYTS),12,251
KAREINAGAR,12,77
JAFFNA,12,446
NALLUR,12,28
VALIKAMAM EAST (KOPAY),12,264
VALIKAMAM EAST (KOPAY),12,94
VALIKAMAM WEST (CHANKANAI),12,1012
VALIKAMAM SOUTH -WEST (SANDILI,12,45
VALIKAMAM SOUTH (UDUVIL),12,164
VALIKAMAM NORTH(TELLIPALLAI),12,646
THENMARADCHI (CHAVAKACHCHERI),12,158
THENMARADCHI (CHAVAKACHCHERI),12,894
VADAMARADCHI SOUTH-WEST (KARAV,12,564
VADAMARADCHI NORTH (POINT PEDR,12,1075
VADAMARADCHI EAST (MARUTHNKERN,12,266
KANDAVALAI,12,40
PACHCHILAIPALLI,12,42
POONAKARY,12,4
KANDAVALAI,12,13121
KARACHCHI,12,13754
PACHCHILAIPALLI,12,917
POONAKARY,12,972
GALGAMUWA,12,131
EHETUWEWA,12,903
POLPITHIGAMA,12,364
MAHAWA,12,146
BINGIRIYA,12,754
AMBANPOLA,12,200
AMBANPOLA,12,200
GANEWATTA,12,126
RASNAYAKAPURA,12,374
GIRIBAWA,12,332
WARIYAPOLA,12,92
KOBEIGANE,12,40
NIKAWERATIYA,12,235
BAMUNUKOTUWA,12,1
MANNAR TOWN,11,618
MADHU,11,771
MANTHAI WEST,11,458
NANADHAN,11,584
MEDAGAMA,12,21
KATHARAGAMA,11,1332
KATHARAGAMA,12,1575
BIBILE,12,183
SIYAMBALANDUWA,12,72
THANAMALVILA,12,85
BUTTALA,12,336
MONERAGALA,12,901
MEDAGAMA,12,43
BADALKUMBURA,12,119
WELLAWAYA,12,36
PUTHUKUDIYIRUPPU,12,28831
MANTHAI EAST,12,515
MARITIMEPATTU,12,150
WELI OYA,12,31
ODDUSUDDAN,12,1062
THUNUKKAI,12,711
WELI OYA,12,210
MARITIMEPATTU,12,5
NUWARA ELIYA,11,214
AMBAGAMUWAKORALE,11,237
NUWARA ELIYA,12,13
AMBAGAMUWAKORALE,11,237
